时间,压力,功率
2017/11/21 14:00:00,15.9673,534.99
2017/11/21 14:00:30,15.9673,534.99
2017/11/21 14:01:00,15.9673,534.99
2017/11/21 14:01:30,15.9673,535.685
2017/11/21 14:02:00,15.9673,536.258
2017/11/21 14:02:30,15.9673,536.258
2017/11/21 14:03:00,15.9673,536.83
2017/11/21 14:03:30,15.9673,537.403
2017/11/21 14:04:00,15.9673,537.403
2017/11/21 14:04:30,15.9673,537.403
2017/11/21 14:05:00,15.9673,537.403
2017/11/21 14:05:30,15.9673,537.403
2017/11/21 14:06:00,15.9673,537.403
2017/11/21 14:06:30,15.9673,537.403
2017/11/21 14:07:00,15.8024,537.403
2017/11/21 14:07:30,15.8024,536.83
2017/11/21 14:08:00,15.8024,536.83
2017/11/21 14:08:30,15.8024,536.258
2017/11/21 14:09:00,15.6375,536.258
2017/11/21 14:09:30,15.6375,536.258
2017/11/21 14:10:00,15.6375,536.258
2017/11/21 14:10:30,15.6375,536.258
2017/11/21 14:11:00,15.4726,536.83
2017/11/21 14:11:30,15.4726,537.525
2017/11/21 14:12:00,15.4726,537.403
2017/11/21 14:12:30,15.4726,538.67
2017/11/21 14:13:00,15.4726,539.243
2017/11/21 14:13:30,15.4726,539.243
2017/11/21 14:14:00,15.4726,539.816
2017/11/21 14:14:30,15.4726,540.389
2017/11/21 14:15:00,15.4726,540.389
2017/11/21 14:15:30,15.4726,540.389
2017/11/21 14:16:00,15.4726,540.431
2017/11/21 14:16:30,15.4726,540.431
2017/11/21 14:17:00,15.4726,540.431
2017/11/21 14:17:30,15.4726,539.816
2017/11/21 14:18:00,15.4726,539.816
2017/11/21 14:18:30,15.4726,539.816
2017/11/21 14:19:00,15.4726,539.121
2017/11/21 14:19:30,15.4726,539.121
2017/11/21 14:20:00,15.4726,538.548
2017/11/21 14:20:30,15.4726,538.548
2017/11/21 14:21:00,15.4726,538.548
2017/11/21 14:21:30,15.4726,538.548
2017/11/21 14:22:00,15.4726,538.548
2017/11/21 14:22:30,15.4726,538.548
2017/11/21 14:23:00,15.4726,538.548
2017/11/21 14:23:30,15.4726,539.079
2017/11/21 14:24:00,15.4726,539.079
2017/11/21 14:24:30,15.4726,539.652
2017/11/21 14:25:00,15.4726,540.224
2017/11/21 14:25:30,15.4726,540.797
2017/11/21 14:26:00,15.4726,540.797
2017/11/21 14:26:30,15.4726,541.534
2017/11/21 14:27:00,15.4726,541.534
2017/11/21 14:27:30,15.4726,542.107
2017/11/21 14:28:00,15.4726,542.107
2017/11/21 14:28:30,15.4726,541.984
2017/11/21 14:29:00,15.4726,542.557
2017/11/21 14:29:30,15.4726,542.557
2017/11/21 14:30:00,15.4726,542.557
2017/11/21 14:30:30,15.4726,542.557
2017/11/21 14:31:00,15.4726,542.557
2017/11/21 14:31:30,15.4726,542.844
2017/11/21 14:32:00,15.4726,542.844
2017/11/21 14:32:30,15.4726,542.844
2017/11/21 14:33:00,15.4726,542.844
2017/11/21 14:33:30,15.4726,542.844
2017/11/21 14:34:00,15.4726,542.844
2017/11/21 14:34:30,15.6375,542.271
2017/11/21 14:35:00,15.6375,542.271
2017/11/21 14:35:30,15.6375,542.271
2017/11/21 14:36:00,15.6375,542.271
2017/11/21 14:36:30,15.6375,542.271
2017/11/21 14:37:00,15.6375,542.271
2017/11/21 14:37:30,15.6375,542.271
2017/11/21 14:38:00,15.6375,541.698
2017/11/21 14:38:30,15.6375,541.698
2017/11/21 14:39:00,15.6375,541.984
2017/11/21 14:39:30,15.6375,542.107
2017/11/21 14:40:00,15.6375,542.107
2017/11/21 14:40:30,15.6375,542.107
2017/11/21 14:41:00,15.6375,541.534
2017/11/21 14:41:30,15.6375,541.534
2017/11/21 14:42:00,15.6375,541.534
2017/11/21 14:42:30,15.6375,541.534
2017/11/21 14:43:00,15.6375,541.534
2017/11/21 14:43:30,15.6375,541.534
2017/11/21 14:44:00,15.6375,542.107
2017/11/21 14:44:30,15.6375,542.107
2017/11/21 14:45:00,15.6375,542.107
2017/11/21 14:45:30,15.6375,541.534
2017/11/21 14:46:00,15.6375,541.534
2017/11/21 14:46:30,15.6375,541.534
2017/11/21 14:47:00,15.6375,541.534
2017/11/21 14:47:30,15.6375,541.656
2017/11/21 14:48:00,15.6375,541.248
2017/11/21 14:48:30,15.6375,541.248
2017/11/21 14:49:00,15.6375,541.248
2017/11/21 14:49:30,15.6375,541.248
2017/11/21 14:50:00,15.6375,541.943
2017/11/21 14:50:30,15.6375,541.943
2017/11/21 14:51:00,15.6375,541.82
2017/11/21 14:51:30,15.6375,542.393
2017/11/21 14:52:00,15.6375,542.393
2017/11/21 14:52:30,15.6375,542.393
2017/11/21 14:53:00,15.6375,542.966
2017/11/21 14:53:30,15.6375,543.088
2017/11/21 14:54:00,15.6375,543.088
2017/11/21 14:54:30,15.6375,543.088
2017/11/21 14:55:00,15.6375,543.088
2017/11/21 14:55:30,15.6375,543.088
2017/11/21 14:56:00,15.6375,543.088
2017/11/21 14:56:30,15.6375,543.088
2017/11/21 14:57:00,15.6375,542.679
2017/11/21 14:57:30,15.6375,542.802
2017/11/21 14:58:00,15.6375,542.393
2017/11/21 14:58:30,15.6375,542.393
2017/11/21 14:59:00,15.6375,542.393
2017/11/21 14:59:30,15.6375,542.393
2017/11/21 15:00:00,15.6375,542.515
2017/11/21 15:00:30,15.6375,542.515
2017/11/21 15:01:00,15.6375,541.943
2017/11/21 15:01:30,15.6375,541.943
2017/11/21 15:02:00,15.6375,541.943
2017/11/21 15:02:30,15.6375,542.065
2017/11/21 15:03:00,15.6375,541.37
2017/11/21 15:03:30,15.6375,540.919
2017/11/21 15:04:00,15.6375,540.919
2017/11/21 15:04:30,15.6375,540.919
2017/11/21 15:05:00,15.6375,540.919
2017/11/21 15:05:30,15.6375,540.919
2017/11/21 15:06:00,15.4726,540.919
2017/11/21 15:06:30,15.4726,540.919
2017/11/21 15:07:00,15.4726,540.919
2017/11/21 15:07:30,15.4726,541.492
2017/11/21 15:08:00,15.4726,541.492
2017/11/21 15:08:30,15.4726,541.492
2017/11/21 15:09:00,15.4726,542.229
2017/11/21 15:09:30,15.4726,542.802
2017/11/21 15:10:00,15.4726,542.802
2017/11/21 15:10:30,15.4726,542.802
2017/11/21 15:11:00,15.4726,543.374
2017/11/21 15:11:30,15.4726,543.374
2017/11/21 15:12:00,15.4726,543.374
2017/11/21 15:12:30,15.4726,543.374
2017/11/21 15:13:00,15.4726,543.374
2017/11/21 15:13:30,15.4726,543.374
2017/11/21 15:14:00,15.4726,543.374
2017/11/21 15:14:30,15.4726,543.374
2017/11/21 15:15:00,15.4726,543.374
2017/11/21 15:15:30,15.6375,543.947
2017/11/21 15:16:00,15.6375,543.947
2017/11/21 15:16:30,15.6375,543.947
2017/11/21 15:17:00,15.6375,543.374
2017/11/21 15:17:30,15.6375,543.374
2017/11/21 15:18:00,15.6375,543.374
2017/11/21 15:18:30,15.6375,543.374
2017/11/21 15:19:00,15.6375,542.638
2017/11/21 15:19:30,15.6375,542.638
2017/11/21 15:20:00,15.6375,542.065
2017/11/21 15:20:30,15.6375,542.065
2017/11/21 15:21:00,15.6375,541.492
2017/11/21 15:21:30,15.6375,541.492
2017/11/21 15:22:00,15.6375,541.492
2017/11/21 15:22:30,15.6375,541.492
2017/11/21 15:23:00,15.6375,541.492
2017/11/21 15:23:30,15.6375,540.919
2017/11/21 15:24:00,15.6375,540.919
2017/11/21 15:24:30,15.6375,540.919
2017/11/21 15:25:00,15.6375,540.919
2017/11/21 15:25:30,15.6375,540.919
2017/11/21 15:26:00,15.6375,541.614
2017/11/21 15:26:30,15.6375,541.614
2017/11/21 15:27:00,15.6375,541.614
2017/11/21 15:27:30,15.6375,541.614
2017/11/21 15:28:00,15.6375,541.614
2017/11/21 15:28:30,15.6375,541.614
2017/11/21 15:29:00,15.6375,541.614
2017/11/21 15:29:30,15.6375,541.614
2017/11/21 15:30:00,15.6375,541.614
2017/11/21 15:30:30,15.6375,541.614
2017/11/21 15:31:00,15.6375,542.187
2017/11/21 15:31:30,15.6375,542.187
2017/11/21 15:32:00,15.6375,542.187
2017/11/21 15:32:30,15.6375,542.187
2017/11/21 15:33:00,15.6375,542.309
2017/11/21 15:33:30,15.6375,541.778
2017/11/21 15:34:00,15.6375,541.778
2017/11/21 15:34:30,15.6375,541.778
2017/11/21 15:35:00,15.6375,541.778
2017/11/21 15:35:30,15.6375,541.778
2017/11/21 15:36:00,15.6375,542.023
2017/11/21 15:36:30,15.6375,542.023
2017/11/21 15:37:00,15.6375,541.737
2017/11/21 15:37:30,15.6375,541.737
2017/11/21 15:38:00,15.6375,542.309
2017/11/21 15:38:30,15.6375,542.309
2017/11/21 15:39:00,15.6375,542.309
2017/11/21 15:39:30,15.6375,542.882
2017/11/21 15:40:00,15.6375,542.187
2017/11/21 15:40:30,15.6375,542.596
2017/11/21 15:41:00,15.6375,543.168
2017/11/21 15:41:30,15.6375,543.168
2017/11/21 15:42:00,15.6375,543.168
2017/11/21 15:42:30,15.6375,543.333
2017/11/21 15:43:00,15.6375,543.333
2017/11/21 15:43:30,15.6375,543.333
2017/11/21 15:44:00,15.6375,543.333
2017/11/21 15:44:30,15.6375,543.333
2017/11/21 15:45:00,15.6375,543.333
2017/11/21 15:45:30,15.6375,543.333
2017/11/21 15:46:00,15.6375,542.76
2017/11/21 15:46:30,15.6375,542.76
2017/11/21 15:47:00,15.6375,542.76
2017/11/21 15:47:30,15.6375,542.76
2017/11/21 15:48:00,15.6375,542.76
2017/11/21 15:48:30,15.6375,542.76
2017/11/21 15:49:00,15.6375,542.76
2017/11/21 15:49:30,15.6375,543.046
2017/11/21 15:50:00,15.6375,542.882
2017/11/21 15:50:30,15.6375,542.882
2017/11/21 15:51:00,15.6375,542.882
2017/11/21 15:51:30,15.6375,542.882
2017/11/21 15:52:00,15.6375,542.882
2017/11/21 15:52:30,15.6375,542.76
2017/11/21 15:53:00,15.6375,542.187
2017/11/21 15:53:30,15.6375,542.76
2017/11/21 15:54:00,15.6375,542.187
2017/11/21 15:54:30,15.6375,542.351
2017/11/21 15:55:00,15.6375,542.351
2017/11/21 15:55:30,15.6375,542.882
2017/11/21 15:56:00,15.6375,542.882
2017/11/21 15:56:30,15.6375,542.882
2017/11/21 15:57:00,15.6375,542.882
2017/11/21 15:57:30,15.6375,542.882
2017/11/21 15:58:00,15.6375,542.187
2017/11/21 15:58:30,15.6375,542.187
2017/11/21 15:59:00,15.6375,542.187
2017/11/21 15:59:30,15.6375,542.187
2017/11/21 16:00:00,15.6375,541.614
2017/11/21 16:00:30,15.6375,541.614
2017/11/21 16:01:00,15.6375,541.614
2017/11/21 16:01:30,15.6375,541.614
2017/11/21 16:02:00,15.6375,541.614
2017/11/21 16:02:30,15.6375,541.614
2017/11/21 16:03:00,15.6375,541.614
2017/11/21 16:03:30,15.6375,541.614
2017/11/21 16:04:00,15.6375,541.614
2017/11/21 16:04:30,15.4726,541.614
2017/11/21 16:05:00,15.4726,541.614
2017/11/21 16:05:30,15.4726,541.614
2017/11/21 16:06:00,15.4726,541.614
2017/11/21 16:06:30,15.4726,541.778
2017/11/21 16:07:00,15.4726,542.309
2017/11/21 16:07:30,15.4726,542.309
2017/11/21 16:08:00,15.4726,542.309
2017/11/21 16:08:30,15.4726,542.924
2017/11/21 16:09:00,15.4726,542.924
2017/11/21 16:09:30,15.4726,543.497
2017/11/21 16:10:00,15.4726,543.497
2017/11/21 16:10:30,15.4726,543.497
2017/11/21 16:11:00,15.4726,543.497
2017/11/21 16:11:30,15.4726,543.497
2017/11/21 16:12:00,15.4726,543.497
2017/11/21 16:12:30,15.4726,544.069
2017/11/21 16:13:00,15.4726,543.497
2017/11/21 16:13:30,15.4726,543.497
2017/11/21 16:14:00,15.4726,543.497
2017/11/21 16:14:30,15.4726,543.497
2017/11/21 16:15:00,15.4726,543.497
2017/11/21 16:15:30,15.4726,543.497
2017/11/21 16:16:00,15.4726,543.619
2017/11/21 16:16:30,15.4726,543.088
2017/11/21 16:17:00,15.4726,543.088
2017/11/21 16:17:30,15.4726,543.088
2017/11/21 16:18:00,15.4726,543.088
2017/11/21 16:18:30,15.4726,543.088
2017/11/21 16:19:00,15.4726,543.088
2017/11/21 16:19:30,15.6375,543.088
2017/11/21 16:20:00,15.6375,542.351
2017/11/21 16:20:30,15.6375,542.351
2017/11/21 16:21:00,15.6375,542.351
2017/11/21 16:21:30,15.6375,542.351
2017/11/21 16:22:00,15.6375,541.778
2017/11/21 16:22:30,15.6375,541.778
2017/11/21 16:23:00,15.6375,541.778
2017/11/21 16:23:30,15.6375,541.778
2017/11/21 16:24:00,15.6375,542.351
2017/11/21 16:24:30,15.6375,542.351
2017/11/21 16:25:00,15.6375,542.351
2017/11/21 16:25:30,15.6375,542.351
2017/11/21 16:26:00,15.6375,542.351
2017/11/21 16:26:30,15.6375,542.351
2017/11/21 16:27:00,15.6375,543.046
2017/11/21 16:27:30,15.6375,543.046
2017/11/21 16:28:00,15.6375,543.333
2017/11/21 16:28:30,15.6375,542.802
2017/11/21 16:29:00,15.6375,542.802
2017/11/21 16:29:30,15.6375,542.802
2017/11/21 16:30:00,15.6375,542.802
2017/11/21 16:30:30,15.6375,542.802
2017/11/21 16:31:00,15.6375,542.802
2017/11/21 16:31:30,15.6375,542.187
2017/11/21 16:32:00,15.6375,542.187
2017/11/21 16:32:30,15.6375,542.187
2017/11/21 16:33:00,15.6375,541.492
2017/11/21 16:33:30,15.6375,541.492
2017/11/21 16:34:00,15.6375,541.492
2017/11/21 16:34:30,15.6375,541.492
2017/11/21 16:35:00,15.6375,540.919
2017/11/21 16:35:30,15.6375,540.919
2017/11/21 16:36:00,15.6375,540.919
2017/11/21 16:36:30,15.6375,541.492
2017/11/21 16:37:00,15.6375,541.492
2017/11/21 16:37:30,15.4726,541.492
2017/11/21 16:38:00,15.4726,541.492
2017/11/21 16:38:30,15.4726,542.065
2017/11/21 16:39:00,15.4726,542.065
2017/11/21 16:39:30,15.4726,542.065
2017/11/21 16:40:00,15.4726,542.065
2017/11/21 16:40:30,15.4726,542.76
2017/11/21 16:41:00,15.4726,543.333
2017/11/21 16:41:30,15.6375,543.333
2017/11/21 16:42:00,15.6375,544.028
2017/11/21 16:42:30,15.6375,544.028
2017/11/21 16:43:00,15.6375,544.028
2017/11/21 16:43:30,15.6375,544.028
2017/11/21 16:44:00,15.6375,543.497
2017/11/21 16:44:30,15.6375,543.497
2017/11/21 16:45:00,15.6375,542.924
2017/11/21 16:45:30,15.6375,542.924
2017/11/21 16:46:00,15.6375,542.924
2017/11/21 16:46:30,15.6375,542.924
2017/11/21 16:47:00,15.8024,542.924
2017/11/21 16:47:30,15.8024,542.351
2017/11/21 16:48:00,15.8024,542.351
2017/11/21 16:48:30,15.8024,541.778
2017/11/21 16:49:00,15.8024,541.778
2017/11/21 16:49:30,15.8024,541.206
2017/11/21 16:50:00,15.8024,540.633
2017/11/21 16:50:30,15.8024,540.633
2017/11/21 16:51:00,15.8024,540.633
2017/11/21 16:51:30,15.8024,540.06
2017/11/21 16:52:00,15.8024,540.06
2017/11/21 16:52:30,15.8024,540.06
2017/11/21 16:53:00,15.8024,540.06
2017/11/21 16:53:30,15.8024,540.06
2017/11/21 16:54:00,15.8024,539.488
2017/11/21 16:54:30,15.8024,539.488
2017/11/21 16:55:00,15.8024,539.488
2017/11/21 16:55:30,15.8024,539.488
2017/11/21 16:56:00,15.8024,538.915
2017/11/21 16:56:30,15.6375,538.915
2017/11/21 16:57:00,15.6375,538.22
2017/11/21 16:57:30,15.6375,538.22
2017/11/21 16:58:00,15.6375,537.647
2017/11/21 16:58:30,15.6375,537.647
2017/11/21 16:59:00,15.6375,537.647
2017/11/21 16:59:30,15.6375,537.647
2017/11/21 17:00:00,15.6375,538.342
2017/11/21 17:00:30,15.6375,538.342
2017/11/21 17:01:00,15.6375,538.915
2017/11/21 17:01:30,15.6375,539.488
2017/11/21 17:02:00,15.6375,539.488
2017/11/21 17:02:30,15.6375,540.06
2017/11/21 17:03:00,15.6375,540.633
2017/11/21 17:03:30,15.6375,540.633
2017/11/21 17:04:00,15.6375,541.206
2017/11/21 17:04:30,15.6375,541.206
2017/11/21 17:05:00,15.8024,541.206
2017/11/21 17:05:30,15.8024,541.206
2017/11/21 17:06:00,15.8024,541.206
2017/11/21 17:06:30,15.8024,541.206
2017/11/21 17:07:00,15.8024,540.511
2017/11/21 17:07:30,15.8024,540.511
2017/11/21 17:08:00,15.8024,540.511
2017/11/21 17:08:30,15.8024,539.938
2017/11/21 17:09:00,15.8024,539.365
2017/11/21 17:09:30,15.8024,539.365
2017/11/21 17:10:00,15.8024,538.793
2017/11/21 17:10:30,15.6375,538.22
2017/11/21 17:11:00,15.6375,537.647
2017/11/21 17:11:30,15.6375,537.647
2017/11/21 17:12:00,15.6375,537.075
2017/11/21 17:12:30,15.4726,536.502
2017/11/21 17:13:00,15.4726,536.502
2017/11/21 17:13:30,15.4726,535.929
2017/11/21 17:14:00,15.4726,535.929
2017/11/21 17:14:30,15.4726,535.929
2017/11/21 17:15:00,15.4726,535.929
2017/11/21 17:15:30,15.3078,535.929
2017/11/21 17:16:00,15.3078,536.502
2017/11/21 17:16:30,15.3078,537.075
2017/11/21 17:17:00,15.3078,537.075
2017/11/21 17:17:30,15.3078,538.056
2017/11/21 17:18:00,15.3078,538.629
2017/11/21 17:18:30,15.3078,539.201
2017/11/21 17:19:00,15.3078,539.774
2017/11/21 17:19:30,15.3078,539.774
2017/11/21 17:20:00,15.3078,540.347
2017/11/21 17:20:30,15.3078,540.919
2017/11/21 17:21:00,15.3078,540.919
2017/11/21 17:21:30,15.3078,540.919
2017/11/21 17:22:00,15.3078,540.919
2017/11/21 17:22:30,15.4726,540.919
2017/11/21 17:23:00,15.4726,540.919
2017/11/21 17:23:30,15.4726,540.919
2017/11/21 17:24:00,15.4726,540.919
2017/11/21 17:24:30,15.6375,540.919
2017/11/21 17:25:00,15.6375,540.919
2017/11/21 17:25:30,15.6375,540.919
2017/11/21 17:26:00,15.6375,540.919
2017/11/21 17:26:30,15.6375,540.919
2017/11/21 17:27:00,15.6375,540.919
2017/11/21 17:27:30,15.6375,540.919
2017/11/21 17:28:00,15.6375,540.919
2017/11/21 17:28:30,15.6375,540.919
2017/11/21 17:29:00,15.6375,540.919
2017/11/21 17:29:30,15.6375,540.919
2017/11/21 17:30:00,15.6375,540.389
2017/11/21 17:30:30,15.6375,540.389
2017/11/21 17:31:00,15.6375,539.816
2017/11/21 17:31:30,15.6375,539.816
2017/11/21 17:32:00,15.6375,539.243
2017/11/21 17:32:30,15.6375,539.243
2017/11/21 17:33:00,15.6375,538.67
2017/11/21 17:33:30,15.6375,538.67
2017/11/21 17:34:00,15.6375,538.67
2017/11/21 17:34:30,15.6375,538.098
2017/11/21 17:35:00,15.6375,538.098
2017/11/21 17:35:30,15.6375,537.525
2017/11/21 17:36:00,15.4726,537.525
2017/11/21 17:36:30,15.4726,537.525
2017/11/21 17:37:00,15.4726,537.525
2017/11/21 17:37:30,15.4726,537.525
2017/11/21 17:38:00,15.4726,538.056
2017/11/21 17:38:30,15.4726,538.056
2017/11/21 17:39:00,15.4726,538.915
2017/11/21 17:39:30,15.4726,538.915
2017/11/21 17:40:00,15.4726,539.488
2017/11/21 17:40:30,15.4726,540.06
2017/11/21 17:41:00,15.4726,540.633
2017/11/21 17:41:30,15.4726,540.633
2017/11/21 17:42:00,15.4726,541.206
2017/11/21 17:42:30,15.4726,542.065
2017/11/21 17:43:00,15.4726,541.37
2017/11/21 17:43:30,15.4726,541.943
2017/11/21 17:44:00,15.4726,541.943
2017/11/21 17:44:30,15.4726,542.515
2017/11/21 17:45:00,15.4726,542.515
2017/11/21 17:45:30,15.4726,542.515
2017/11/21 17:46:00,15.4726,542.515
2017/11/21 17:46:30,15.6375,542.515
2017/11/21 17:47:00,15.6375,542.515
2017/11/21 17:47:30,15.6375,541.943
2017/11/21 17:48:00,15.6375,541.943
2017/11/21 17:48:30,15.6375,541.943
2017/11/21 17:49:00,15.6375,541.943
2017/11/21 17:49:30,15.6375,541.943
2017/11/21 17:50:00,15.8024,541.943
2017/11/21 17:50:30,15.8024,541.943
2017/11/21 17:51:00,15.8024,541.943
2017/11/21 17:51:30,15.8024,541.943
2017/11/21 17:52:00,15.8024,541.248
2017/11/21 17:52:30,15.8024,541.248
2017/11/21 17:53:00,15.8024,540.675
2017/11/21 17:53:30,15.8024,540.102
2017/11/21 17:54:00,15.8024,539.529
2017/11/21 17:54:30,15.8024,539.529
2017/11/21 17:55:00,15.8024,538.957
2017/11/21 17:55:30,15.8024,538.384
2017/11/21 17:56:00,15.6375,538.384
2017/11/21 17:56:30,15.6375,538.384
2017/11/21 17:57:00,15.6375,537.811
2017/11/21 17:57:30,15.6375,537.811
2017/11/21 17:58:00,15.6375,538.342
2017/11/21 17:58:30,15.6375,538.342
2017/11/21 17:59:00,15.6375,538.342
2017/11/21 17:59:30,15.6375,538.384
2017/11/21 18:00:00,15.6375,538.915
2017/11/21 18:00:30,15.4726,538.915
2017/11/21 18:01:00,15.4726,539.652
2017/11/21 18:01:30,15.4726,539.652
2017/11/21 18:02:00,15.4726,540.347
2017/11/21 18:02:30,15.4726,540.347
2017/11/21 18:03:00,15.4726,540.919
2017/11/21 18:03:30,15.4726,540.919
2017/11/21 18:04:00,15.4726,541.492
2017/11/21 18:04:30,15.4726,542.065
2017/11/21 18:05:00,15.4726,542.065
2017/11/21 18:05:30,15.4726,542.679
2017/11/21 18:06:00,15.4726,542.679
2017/11/21 18:06:30,15.4726,542.679
2017/11/21 18:07:00,15.4726,542.679
2017/11/21 18:07:30,15.4726,543.21
2017/11/21 18:08:00,15.6375,543.21
2017/11/21 18:08:30,15.6375,543.21
2017/11/21 18:09:00,15.6375,543.21
2017/11/21 18:09:30,15.6375,543.21
2017/11/21 18:10:00,15.6375,542.679
2017/11/21 18:10:30,15.6375,542.679
2017/11/21 18:11:00,15.6375,542.679
2017/11/21 18:11:30,15.6375,542.679
2017/11/21 18:12:00,15.6375,542.679
2017/11/21 18:12:30,15.6375,542.107
2017/11/21 18:13:00,15.6375,542.107
2017/11/21 18:13:30,15.6375,541.534
2017/11/21 18:14:00,15.6375,541.534
2017/11/21 18:14:30,15.6375,540.961
2017/11/21 18:15:00,15.6375,540.389
2017/11/21 18:15:30,15.6375,540.389
2017/11/21 18:16:00,15.6375,539.816
2017/11/21 18:16:30,15.6375,539.243
2017/11/21 18:17:00,15.6375,539.243
2017/11/21 18:17:30,15.6375,539.243
2017/11/21 18:18:00,15.6375,538.67
2017/11/21 18:18:30,15.6375,538.67
2017/11/21 18:19:00,15.4726,539.201
2017/11/21 18:19:30,15.4726,539.201
2017/11/21 18:20:00,15.4726,539.201
2017/11/21 18:20:30,15.4726,539.201
2017/11/21 18:21:00,15.4726,539.816
2017/11/21 18:21:30,15.4726,540.511
2017/11/21 18:22:00,15.4726,540.511
2017/11/21 18:22:30,15.4726,541.083
2017/11/21 18:23:00,15.4726,541.656
2017/11/21 18:23:30,15.4726,542.229
2017/11/21 18:24:00,15.4726,542.229
2017/11/21 18:24:30,15.4726,542.802
2017/11/21 18:25:00,15.4726,542.802
2017/11/21 18:25:30,15.4726,542.802
2017/11/21 18:26:00,15.4726,542.802
2017/11/21 18:26:30,15.4726,542.802
2017/11/21 18:27:00,15.6375,542.802
2017/11/21 18:27:30,15.6375,542.802
2017/11/21 18:28:00,15.6375,542.802
2017/11/21 18:28:30,15.6375,542.802
2017/11/21 18:29:00,15.6375,542.802
2017/11/21 18:29:30,15.6375,542.802
2017/11/21 18:30:00,15.6375,542.229
2017/11/21 18:30:30,15.6375,542.229
2017/11/21 18:31:00,15.6375,542.229
2017/11/21 18:31:30,15.6375,541.656
2017/11/21 18:32:00,15.6375,541.656
2017/11/21 18:32:30,15.6375,540.961
2017/11/21 18:33:00,15.6375,540.961
2017/11/21 18:33:30,15.6375,540.961
2017/11/21 18:34:00,15.6375,540.961
2017/11/21 18:34:30,15.6375,540.389
2017/11/21 18:35:00,15.6375,540.389
2017/11/21 18:35:30,15.6375,540.389
2017/11/21 18:36:00,15.6375,540.389
2017/11/21 18:36:30,15.6375,540.389
2017/11/21 18:37:00,15.6375,540.389
2017/11/21 18:37:30,15.6375,540.389
2017/11/21 18:38:00,15.6375,540.389
2017/11/21 18:38:30,15.6375,540.389
2017/11/21 18:39:00,15.6375,540.389
2017/11/21 18:39:30,15.6375,540.389
2017/11/21 18:40:00,15.6375,539.816
2017/11/21 18:40:30,15.6375,540.347
2017/11/21 18:41:00,15.6375,540.347
2017/11/21 18:41:30,15.6375,540.347
2017/11/21 18:42:00,15.6375,540.347
2017/11/21 18:42:30,15.6375,540.347
2017/11/21 18:43:00,15.6375,540.347
2017/11/21 18:43:30,15.6375,540.347
2017/11/21 18:44:00,15.6375,540.347
2017/11/21 18:44:30,15.6375,540.347
2017/11/21 18:45:00,15.6375,540.347
2017/11/21 18:45:30,15.6375,540.347
2017/11/21 18:46:00,15.6375,540.347
2017/11/21 18:46:30,15.6375,540.347
2017/11/21 18:47:00,15.6375,540.347
2017/11/21 18:47:30,15.6375,540.347
2017/11/21 18:48:00,15.6375,540.347
2017/11/21 18:48:30,15.6375,540.347
2017/11/21 18:49:00,15.6375,540.347
2017/11/21 18:49:30,15.6375,540.347
2017/11/21 18:50:00,15.6375,540.347
2017/11/21 18:50:30,15.6375,540.347
2017/11/21 18:51:00,15.6375,540.347
2017/11/21 18:51:30,15.6375,539.694
2017/11/21 18:52:00,15.6375,539.407
2017/11/21 18:52:30,15.6375,539.407
2017/11/21 18:53:00,15.6375,539.407
2017/11/21 18:53:30,15.6375,539.407
2017/11/21 18:54:00,15.6375,538.835
2017/11/21 18:54:30,15.6375,538.835
2017/11/21 18:55:00,15.4726,538.835
2017/11/21 18:55:30,15.4726,538.835
2017/11/21 18:56:00,15.4726,539.365
2017/11/21 18:56:30,15.4726,539.365
2017/11/21 18:57:00,15.4726,539.365
2017/11/21 18:57:30,15.4726,539.938
2017/11/21 18:58:00,15.4726,539.938
2017/11/21 18:58:30,15.4726,540.511
2017/11/21 18:59:00,15.4726,541.083
2017/11/21 18:59:30,15.4726,541.125
